Experiment Number,Size,Number of Lies,Mean Questions,Std Deviation
1,100,0,6.71,0.453762052
2,100,10,85.28,17.14192521
3,100,20,100.996,18.02481578
4,100,30,102.477,14.63514506
5,100,40,104.099,11.84994511
6,100,50,106.566,7.288048024
7,1000,0,9.984,0.125475097
8,1000,100,918.964,68.69013542
9,1000,200,994.328,62.58365934
10,1000,300,1004.309,47.62330857
11,1000,400,1003.301,39.23333275
12,1000,500,1016.697,21.45253344
13,10000,0,13.35,0.476969601
14,10000,1000,9608.303,239.6748614
15,10000,2000,9986.616,195.8106497
16,10000,3000,10008.443,151.0953697
17,10000,4000,10005.444,119.0057094
18,10000,5000,10044.362,62.59139682
19,100000,0,16.68,0.466476152
20,100000,10000,98089.378,923.2707572
21,100000,20000,99986.254,629.5852393
22,100000,30000,100005.718,483.0480913
23,100000,40000,100006.822,376.8525737
24,100000,50000,100135.681,186.0146963
25,1000000,0,19.962,0.191196234
26,1000000,100000,990686.851,2962.253339
27,1000000,200000,999912.436,1985.361357
28,1000000,300000,1000013.029,1548.040703
29,1000000,400000,1000013.145,1232.482461
30,1000000,500000,1000423.673,585.0023847
31,10000000,0,23.321,0.466860793
32,10000000,1000000,9956322.262,10450.27003
33,10000000,2000000,9999909.57,6332.981761
34,10000000,3000000,9999802.895,4902.107453
35,10000000,4000000,10000061.01,3942.738963
36,10000000,5000000,10001305.85,1891.471654
37,100000000,0,26.653,0.476015756
38,100000000,10000000,99790454.06,36532.06681
39,100000000,20000000,99999493.29,19964.80251
40,100000000,30000000,99999698.58,15302.74081
41,100000000,40000000,100000446.8,12413.94335
42,100000000,50000000,100003855.2,5676.118384
