Experiment Number,Size,Number of Lies,Mean Questions,Std Deviation
1,100,0,6.694,0.46082968654373824
2,100,10,87.778,13.080776582451058
3,100,20,169.982,18.033127183048425
4,100,30,250.447,22.400383724391865
5,100,40,332.015,26.419855696048
6,100,50,411.565,28.92209838514488
7,1000,0,9.981,0.13652472303579308
8,1000,100,1145.984,60.481482653784205
9,1000,200,2276.666,87.28059603371187
10,1000,300,3412.506,111.91400253766282
11,1000,400,4552.568,132.64646763483753
12,1000,500,5694.294,150.0646579445007
13,10000,0,13.343,0.47471149132920726
14,10000,1000,15059.025,251.50681576251569
15,10000,2000,30048.888,372.6160590420118
16,10000,3000,45083.39,425.38577303431293
17,10000,4000,60114.881,523.633242679454
18,10000,5000,75142.301,597.5028957243638
19,100000,0,16.696,0.4599826083668816
20,100000,10000,180433.3,1036.926249064995
21,100000,20000,360866.537,1513.3660986790344
22,100000,30000,541296.364,1921.8095232108722
23,100000,40000,721753.518,2346.1094960968894
24,100000,50000,902323.448,2617.2836765043257
25,1000000,0,19.936,0.24475293665245368
26,1000000,100000,2113468.123,6716.634283766759
