Experiment Number,Size,Number of Lies,Mean Questions,Std Deviation
1,100,0,6.71,0.4537620521815371
2,100,10,85.28,17.14192521276417
3,100,20,100.996,18.02481578269248
4,100,30,102.477,14.635145062485714
5,100,40,104.099,11.849945105358083
6,100,50,106.566,7.2880480239910606
7,1000,0,9.984,0.125475097130865
8,1000,100,918.964,68.69013541986942
9,1000,200,994.328,62.583659336922764
10,1000,300,1004.309,47.62330856838907
11,1000,400,1003.301,39.23333275417728
12,1000,500,1016.697,21.452533440132424
13,10000,0,13.35,0.47696960070847283
14,10000,1000,9608.303,239.6748614081168
15,10000,2000,9986.616,195.81064972059104
16,10000,3000,10008.443,151.09536972058407
17,10000,4000,10005.444,119.00570937564298
18,10000,5000,10044.362,62.59139682096893
19,100000,0,16.68,0.46647615158762407
20,100000,10000,98089.378,923.2707572083067
21,100000,20000,99986.254,629.5852392520015
22,100000,30000,100005.718,483.04809126628373
23,100000,40000,100006.822,376.85257371550483
24,100000,50000,100135.681,186.01469629843768
25,1000000,0,19.962,0.19119623427254
26,1000000,100000,990686.851,2962.253339402118
27,1000000,200000,999912.436,1985.3613565051578
28,1000000,300000,1000013.029,1548.0407030046076
29,1000000,400000,1000013.145,1232.4824607169871
30,1000000,500000,1000423.673,585.002384671208
31,10000000,0,23.321,0.4668607929565301
32,10000000,1000000,9956322.262,10450.27003399223
33,10000000,2000000,9999909.57,6332.981760521658
34,10000000,3000000,9999802.895,4902.107452512134
35,10000000,4000000,10000061.014,3942.7389629297045
36,10000000,5000000,10001305.852,1891.4716535269567
37,100000000,0,26.653,0.4760157560417512
38,100000000,10000000,99790454.06,36532.06680595008
39,100000000,20000000,99999493.291,19964.802505267086
40,100000000,30000000,99999698.575,15302.740810403051
41,100000000,40000000,100000446.773,12413.943352274126
42,100000000,50000000,100003855.202,5676.118384353518
